Release Year,Distributor,Genre, Domestic Sales (in $) , International Sales (in $) , World Sales (in $) 
2009,Twentieth Century Fox,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",760507625,2086738578,2847246203
2019,Walt Disney Studios Motion Pictures,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",858373000,1939128328,2797501328
1997,Paramount Pictures,"['Drama', 'Romance']",659363944,1542283320,2201647264
2015,Walt Disney Studios Motion Pictures,"['Action', 'Adventure', 'Sci-Fi']",936662225,1132859475,2069521700
2015,Universal Pictures,"['Action', 'Adventure', 'Sci-Fi']",652385625,1018130819,1670516444
2019,Walt Disney Studios Motion Pictures,"['Adventure', 'Animation', 'Drama', 'Family', 'Musical']",543638043,1119261396,1662899439
2012,Walt Disney Studios Motion Pictures,"['Action', 'Adventure', 'Sci-Fi']",623357910,895457605,1518815515
2015,Universal Pictures,"['Action', 'Thriller']",353007020,1162334379,1515341399
2019,Walt Disney Studios Motion Pictures,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",477373578,972653355,1450026933
2015,Walt Disney Studios Motion Pictures,"['Action', 'Adventure', 'Sci-Fi']",459005868,943803672,1402809540
2017,Walt Disney Studios Motion Pictures,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",620181382,712517448,1332698830
2018,Universal Pictures,"['Action', 'Adventure', 'Sci-Fi']",417719760,892746536,1310466296
2013,Walt Disney Studios Motion Pictures,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",400953009,880555091,1281508100
2017,Walt Disney Studios Motion Pictures,"['Adventure', 'Family', 'Fantasy', 'Musical', 'Romance']",504481165,769095055,1273576220
2017,Universal Pictures,"['Action', 'Crime', 'Thriller']",226008385,1009996733,1236005118
2013,Walt Disney Studios Motion Pictures,"['Action', 'Adventure', 'Sci-Fi']",409013994,805797258,1214811252
2015,Universal Pictures,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Sci-Fi']",336045770,823398892,1159444662
2016,Walt Disney Studios Motion Pictures,"['Action', 'Adventure', 'Sci-Fi']",408084349,745253147,1153337496
2003,New Line Cinema,"['Action', 'Adventure', 'Drama', 'Fantasy']",377845905,768185007,1146030912
2019,Sony Pictures Entertainment (SPE),"['Action', 'Adventure', 'Sci-Fi']",390532085,741395911,1131927996
2019,Walt Disney Studios Motion Pictures,"['Action', 'Adventure', 'Sci-Fi']",426829839,701633133,1128462972
2011,DreamWorks,"['Action', 'Adventure', 'Sci-Fi']",352390543,771403536,1123794079
2012,Sony Pictures Entertainment (SPE),"['Action', 'Adventure', 'Thriller']",304360277,804209222,1108569499
2014,Paramount Pictures,"['Action', 'Adventure', 'Sci-Fi']",245439076,858614996,1104054072
2012,Warner Bros.,"['Action', 'Crime', 'Drama']",448139099,633003513,1081142612
2019,Warner Bros.,"['Crime', 'Drama', 'Thriller']",335451311,738968073,1074419384
2019,Walt Disney Studios Motion Pictures,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",515202542,558946737,1074149279
2019,Walt Disney Studios Motion Pictures,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",434038008,639356585,1073394593
2010,Walt Disney Studios Motion Pictures,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",415004880,651965931,1066970811
2006,Walt Disney Studios Motion Pictures,"['Action', 'Adventure', 'Fantasy']",423315812,642863935,1066179747
1994,Walt Disney Studios Motion Pictures,"['Adventure', 'Animation', 'Drama', 'Family', 'Musical']",422783777,640828028,1063611805
2016,Walt Disney Studios Motion Pictures,"['Action', 'Adventure', 'Sci-Fi']",532177324,523880396,1056057720
2019,Walt Disney Studios Motion Pictures,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",355559216,695134737,1050693953
2011,Walt Disney Studios Motion Pictures,"['Action', 'Adventure', 'Fantasy']",241071802,804642000,1045713802
2017,Universal Pictures,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Sci-Fi']",264624300,770175831,1034800131
1993,Universal Pictures,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",404214720,629713583,1033928303
1999,Twentieth Century Fox,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",474544677,552538030,1027082707
2010,Walt Disney Studios Motion Pictures,"['Adventure', 'Family', 'Fantasy', 'Mystery']",334191110,691277106,1025468216
2001,Warner Bros.,"['Adventure', 'Family', 'Fantasy']",318087620,698725454,1016813075
2008,Warner Bros.,"['Action', 'Crime', 'Drama', 'Thriller']",534858444,471115201,1005973645
2013,Universal Pictures,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Sci-Fi']",368065385,602700620,970766005
2016,Walt Disney Studios Motion Pictures,"['Adventure', 'Drama', 'Family', 'Fantasy']",364001123,602553806,966554929
2017,Sony Pictures Entertainment (SPE),"['Action', 'Adventure', 'Comedy', 'Fantasy']",404540171,558002774,962542945
