Year,Ceremony,Award,Winner,Name,Film
1928,1,Actor,,Richard Barthelmess,The Noose
1928,1,Actor,1.0,Emil Jannings,The Last Command
1928,1,Actress,,Louise Dresser,A Ship Comes In
1928,1,Actress,1.0,Janet Gaynor,7th Heaven
1928,1,Actress,,Gloria Swanson,Sadie Thompson
1929,2,Actor,,George Bancroft,Thunderbolt
1929,2,Actor,1.0,Warner Baxter,In Old Arizona
1929,2,Actor,,Chester Morris,Alibi
1929,2,Actor,,Paul Muni,The Valiant
1929,2,Actor,,Lewis Stone,The Patriot
1929,2,Actress,,Ruth Chatterton,Madame X
1929,2,Actress,,Betty Compson,The Barker
1929,2,Actress,,Jeanne Eagels,The Letter
1929,2,Actress,,Corinne Griffith,The Divine Lady
1929,2,Actress,,Bessie Love,The Broadway Melody
1929,2,Actress,1.0,Mary Pickford,Coquette
1930,3,Actor,1.0,George Arliss,Disraeli
1930,3,Actor,,George Arliss,The Green Goddess
1930,3,Actor,,Wallace Beery,The Big House
1930,3,Actor,,Maurice Chevalier,The Big Pond
1930,3,Actor,,Ronald Colman,Bulldog Drummond
1930,3,Actor,,Lawrence Tibbett,The Rogue Song
1930,3,Actress,,Nancy Carroll,The Devil's Holiday
1930,3,Actress,,Ruth Chatterton,Sarah and Son
1930,3,Actress,,Greta Garbo,Anna Christie
1930,3,Actress,1.0,Norma Shearer,The Divorcee
1930,3,Actress,,Norma Shearer,Their Own Desire
1930,3,Actress,,Gloria Swanson,The Trespasser
1931,4,Actor,1.0,Lionel Barrymore,A Free Soul
1931,4,Actor,,Jackie Cooper,Skippy
1931,4,Actor,,Richard Dix,Cimarron
1931,4,Actor,,Fredric March,The Royal Family of Broadway
1931,4,Actor,,Adolphe Menjou,The Front Page
1931,4,Actress,,Marlene Dietrich,Morocco
1931,4,Actress,1.0,Marie Dressler,Min and Bill
1931,4,Actress,,Irene Dunne,Cimarron
1931,4,Actress,,Ann Harding,Holiday
1931,4,Actress,,Norma Shearer,A Free Soul
1932,5,Actor,1.0,Wallace Beery,The Champ
1932,5,Actor,,Alfred Lunt,The Guardsman
1932,5,Actor,1.0,Fredric March,Dr. Jekyll and Mr. Hyde
1932,5,Actress,,Marie Dressler,Emma
1932,5,Actress,,Lynn Fontanne,The Guardsman
1932,5,Actress,1.0,Helen Hayes,The Sin of Madelon Claudet
1933,6,Actor,,Leslie Howard,Berkeley Square
1933,6,Actor,1.0,Charles Laughton,The Private Life of Henry VIII
1933,6,Actor,,Paul Muni,I Am a Fugitive from a Chain Gang
1933,6,Actress,1.0,Katharine Hepburn,Morning Glory
1933,6,Actress,,May Robson,Lady for a Day
1933,6,Actress,,Diana Wynyard,Cavalcade
1934,7,Actor,1.0,Clark Gable,It Happened One Night
1934,7,Actor,,Frank Morgan,The Affairs of Cellini
1934,7,Actor,,William Powell,The Thin Man
1934,7,Actress,1.0,Claudette Colbert,It Happened One Night
1934,7,Actress,,Bette Davis,Of Human Bondage
1934,7,Actress,,Grace Moore,One Night of Love
1934,7,Actress,,Norma Shearer,The Barretts of Wimpole Street
1935,8,Actor,,Clark Gable,Mutiny on the Bounty
1935,8,Actor,,Charles Laughton,Mutiny on the Bounty
1935,8,Actor,1.0,Victor McLaglen,The Informer
1935,8,Actor,,Paul Muni,Black Fury
1935,8,Actor,,Franchot Tone,Mutiny on the Bounty
1935,8,Actress,,Elisabeth Bergner,Escape Me Never
1935,8,Actress,,Claudette Colbert,Private Worlds
1935,8,Actress,1.0,Bette Davis,Dangerous
1935,8,Actress,,Katharine Hepburn,Alice Adams
1935,8,Actress,,Miriam Hopkins,Becky Sharp
1935,8,Actress,,Merle Oberon,The Dark Angel
1936,9,Actor,,Gary Cooper,Mr. Deeds Goes to Town
1936,9,Actor,,Walter Huston,Dodsworth
1936,9,Actor,1.0,Paul Muni,The Story of Louis Pasteur
1936,9,Actor,,William Powell,My Man Godfrey
1936,9,Actor,,Spencer Tracy,San Francisco
1936,9,Actress,,Irene Dunne,Theodora Goes Wild
1936,9,Actress,,Gladys George,Valiant Is the Word for Carrie
1936,9,Actress,,Carole Lombard,My Man Godfrey
1936,9,Actress,1.0,Luise Rainer,The Great Ziegfeld
1936,9,Actress,,Norma Shearer,Romeo and Juliet
1937,10,Actor,,Charles Boyer,Conquest
1937,10,Actor,,Fredric March,A Star Is Born
1937,10,Actor,,Robert Montgomery,Night Must Fall
1937,10,Actor,,Paul Muni,The Life of Emile Zola
1937,10,Actor,1.0,Spencer Tracy,Captains Courageous
1937,10,Actress,,Irene Dunne,The Awful Truth
1937,10,Actress,,Greta Garbo,Camille
1937,10,Actress,,Janet Gaynor,A Star Is Born
1937,10,Actress,1.0,Luise Rainer,The Good Earth
1937,10,Actress,,Barbara Stanwyck,Stella Dallas
1938,11,Actor,,Charles Boyer,Algiers
1938,11,Actor,,James Cagney,Angels with Dirty Faces
1938,11,Actor,,Robert Donat,The Citadel
1938,11,Actor,,Leslie Howard,Pygmalion
1938,11,Actor,1.0,Spencer Tracy,Boys Town
1938,11,Actress,,Fay Bainter,White Banners
1938,11,Actress,1.0,Bette Davis,Jezebel
1938,11,Actress,,Wendy Hiller,Pygmalion
1938,11,Actress,,Norma Shearer,Marie Antoinette
1938,11,Actress,,Margaret Sullavan,Three Comrades
1939,12,Actor,1.0,Robert Donat,"Goodbye, Mr. Chips"
1939,12,Actor,,Clark Gable,Gone with the Wind
1939,12,Actor,,Laurence Olivier,Wuthering Heights
1939,12,Actor,,Mickey Rooney,Babes in Arms
1939,12,Actor,,James Stewart,Mr. Smith Goes to Washington
1939,12,Actress,,Bette Davis,Dark Victory
1939,12,Actress,,Irene Dunne,Love Affair
1939,12,Actress,,Greta Garbo,Ninotchka
1939,12,Actress,,Greer Garson,"Goodbye, Mr. Chips"
1939,12,Actress,1.0,Vivien Leigh,Gone with the Wind
1940,13,Actor,,Charles Chaplin,The Great Dictator
1940,13,Actor,,Henry Fonda,The Grapes of Wrath
1940,13,Actor,,Raymond Massey,Abe Lincoln in Illinois
1940,13,Actor,,Laurence Olivier,Rebecca
1940,13,Actor,1.0,James Stewart,The Philadelphia Story
1940,13,Actress,,Bette Davis,The Letter
1940,13,Actress,,Joan Fontaine,Rebecca
1940,13,Actress,,Katharine Hepburn,The Philadelphia Story
1940,13,Actress,1.0,Ginger Rogers,Kitty Foyle
1940,13,Actress,,Martha Scott,Our Town
1941,14,Actor,1.0,Gary Cooper,Sergeant York
1941,14,Actor,,Cary Grant,Penny Serenade
1941,14,Actor,,Walter Huston,All That Money Can Buy
1941,14,Actor,,Robert Montgomery,Here Comes Mr. Jordan
1941,14,Actor,,Orson Welles,Citizen Kane
1941,14,Actress,,Bette Davis,The Little Foxes
1941,14,Actress,,Olivia de Havilland,Hold Back the Dawn
1941,14,Actress,1.0,Joan Fontaine,Suspicion
1941,14,Actress,,Greer Garson,Blossoms in the Dust
1941,14,Actress,,Barbara Stanwyck,Ball of Fire
1942,15,Actor,1.0,James Cagney,Yankee Doodle Dandy
1942,15,Actor,,Ronald Colman,Random Harvest
1942,15,Actor,,Gary Cooper,The Pride of the Yankees
1942,15,Actor,,Walter Pidgeon,Mrs. Miniver
1942,15,Actor,,Monty Woolley,The Pied Piper
1942,15,Actress,,Bette Davis,"Now, Voyager"
1942,15,Actress,1.0,Greer Garson,Mrs. Miniver
1942,15,Actress,,Katharine Hepburn,Woman of the Year
1942,15,Actress,,Rosalind Russell,My Sister Eileen
1942,15,Actress,,Teresa Wright,The Pride of the Yankees
1943,16,Actor,,Humphrey Bogart,Casablanca
1943,16,Actor,,Gary Cooper,For Whom the Bell Tolls
1943,16,Actor,1.0,Paul Lukas,Watch on the Rhine
1943,16,Actor,,Walter Pidgeon,Madame Curie
1943,16,Actor,,Mickey Rooney,The Human Comedy
1943,16,Actress,,Jean Arthur,The More the Merrier
1943,16,Actress,,Ingrid Bergman,For Whom the Bell Tolls
1943,16,Actress,,Joan Fontaine,The Constant Nymph
1943,16,Actress,,Greer Garson,Madame Curie
1943,16,Actress,1.0,Jennifer Jones,The Song of Bernadette
1944,17,Actor,,Charles Boyer,Gaslight
1944,17,Actor,1.0,Bing Crosby,Going My Way
1944,17,Actor,,Barry Fitzgerald,Going My Way
1944,17,Actor,,Cary Grant,None but the Lonely Heart
1944,17,Actor,,Alexander Knox,Wilson
1944,17,Actress,1.0,Ingrid Bergman,Gaslight
1944,17,Actress,,Claudette Colbert,Since You Went Away
1944,17,Actress,,Bette Davis,Mr. Skeffington
1944,17,Actress,,Greer Garson,Mrs. Parkington
